name,category,ingredients
1626,Whiskies,"Bourbon whiskey, Gingerbread liqueur, cherry-flavored brandy, Angostura Bitters, Italian preserved cherry"
19th Century,Whiskies,"Bourbon whiskey, Fresh lemon juice, White creme de cacao, Lillet Rouge"
A. J.,Cocktail Classics,"Applejack, Grapefruit Juice"
Absinthe Cocktail,Cocktail Classics,"Absinthe Substitute, Water, Old Mr. Boston Anisette, Orange Bitters"
Absinthe Drip Cocktail,Cocktail Classics,"Anis, Sugar"
Absinthe Special Cocktail,Cordials and Liqueurs,"Absinthe, Simple Syrup, Orange Bitters"
Academic Review,Whiskies,"Irish Whiskey, Applejack, Amaro Nonino, Rye Whiskey, Demerara Syrup, Mole bitters 1 oz"
Acapulco,Cocktail Classics,"Light Rum, Lime Juice, Triple Sec, Sugar, Egg White"
Adam and Eve,Cocktail Classics,"Forbidden Fruit, Gin, Brandy, Lemon Juice"
Adderly Cocktail,Whiskies,"Straight rye whiskey, Maraschino liqueur, Orange Bitters, Fresh lemon juice"
Admiral Perry,Vodka,"Pear-flavored vodka, Cinnamon schnapps, Dry Vermouth, White creme de cacao"
Affinity Cocktail,Whiskies,"Straight rye whiskey, Maraschino liqueur, Fresh lemon juice, Orange Bitters"
Affinity Cocktail (whisky),Whiskies,"Blended Scotch Whiskey, Dry Vermouth, Sweet Vermouth, Orange Bitters"
After Dinner Cocktail,Cocktail Classics,"Apricot Flavored Brandy, Triple Sec, Juice of a Lime"
After Supper Cocktail,Cocktail Classics,"Apricot-Flavored Brandy, Triple Sec, Lemon Juice"
Akogare,Whiskies,"Straight rye whiskey, Ginger syrup, Cold brewed black tea, preferably Japanese, Fresh lemon juice"
Alamo Splash,Tequila,"Blanco tequila, Orange juice, Pineapple Juice, Lemon-lime soda"
Alexander Cocktail No. 1,Cocktail Classics,"Gin, Creme de Cacao (White), Light cream"
Alexander Cocktail No. 2,Cocktail Classics,"Creme de Cacao (White), Brandy, Light cream"
Alexander's Sister Cocktail,Cocktail Classics,"Dry gin, Green creme de menthe, Light cream"
Alfie Cocktail,Vodka,"lemon-flavored vodka, Pineapple Juice, Triple Sec"
Algonquin,Whiskies,"Straight rye whiskey, Dry Vermouth, Pineapple Juice"
Allegheny,Whiskies,"Bourbon whiskey, Dry Vermouth, Blackberry-flavored brandy, Fresh lemon juice"
Allies Cocktail,Cocktail Classics,"Dry Vermouth, Gin, Kummel"
Almeria,Cocktail Classics,"17-year-old J. Wray and Nephew Ltd. Rum, Coffee-flavored liqueur, Egg White"
Amante Picante,Tequila,"Cucumber, Fresh cilantro sprigs, Blanco tequila, Fresh Lime Juice, Simple Syrup, Jalapeno hot pepper sauce, cucumber slice"
Amaretto And Cream,Cordials and Liqueurs,"Amaretto, half-and-half"
Amaretto Rose,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup"
Amaretto Sour,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup, Orange half-wheel"
Amaretto Stinger,Cordials and Liqueurs,"Amaretto, White creme de menthe"
Amber Amour,Cordials and Liqueurs,"Amaretto, Fresh lemon juice, Simple Syrup"
Ambrosia,Cocktail Classics,"Applejack, Brandy, Triple Sec"
American Trilogy,Whiskies,"Brown sugar cube, such as Demerara, Straight rye whiskey, Applejack"
Americana,Whiskies,"Tennessee whiskey, Simple Syrup, Angostura Bitters"
Angel's Share,Whiskies,"Bourbon whiskey, Amaro, Creme de Cassis, Orange Bitters"
Ante,Cocktail Classics,"Apple Brandy, Triple Sec, Dubonnet"
Antoine Special,Cocktail Classics,"Dubonnet, Dry Vermouth"
Apple Blow Fizz,Cocktail Classics,"Egg White, Juice of a Lemon, Powdered Sugar, Apple Brandy"
Apple Pie,Cordials and Liqueurs,"Apple schnapps, Cinnamon schnapps"
Apple Pie Cocktail,Cocktail Classics,"Old Mr. Boston Rum, Sweet Vermouth, Apple Flavored Brandy, Grenadine, Lemon Juice"
Apple Pie No. 1,Cocktail Classics,"Light Rum, Sweet Vermouth, Apple Brandy, Grenadine, Lemon Juice"
Apple Rum Rickey,Cocktail Classics,"Applejack, Light Rum, Lime"
Applecar,Cocktail Classics,"Applejack, Triple Sec, Lemon Juice"
Applejack Punch,Cocktail Classics,"Applejack, Grenadine, Orange Juice, Whole Egg"
Apricot Anise Collins,Cocktail Classics,"Gin, Apricot-Flavored Brandy, Anisette, Lemon Juice"
Apricot Anisette Collins,Cocktail Classics,"Gin, Apricot Flavored Brandy, Anisette, Lemon Juice"
Apricot Cocktail,Cocktail Classics,"Juice of a Lemon, Juice of Orange, Apricot Flavored Brandy, Gin"
Apricot Lady,Cocktail Classics,"Light Rum, Apricot-Flavored Brandy, Triple Sec, Lime Juice, Egg White"
Aquarius,Whiskies,"Blended Scotch Whiskey, cherry-flavored brandy, Cranberry Juice"
Aqueduct,Vodka,"Vodka, Fresh Lime Juice, White curacao or triple sec, Apricot-Flavored Brandy"
Aunt Jemima,Cocktail Classics,"Brandy, White creme de cacao, Benedictine"
Autumn Leaves,Whiskies,"Straight rye whiskey, Apple Brandy, Sweet Vermouth, Strega, Angostura Bitters"
Aztec's Mark,Whiskies,"Bourbon whiskey, White creme de cacao, Benedictine, Hot red pepper sauce"
Bacardi Cocktail,Cocktail Classics,"Bacardi Rum, Juice of a Lime, Grenadine"
Bachelor's Bait Cocktail,Cocktail Classics,"Gin, Egg White, Orange Bitters, Grenadine"
Back Porch Swizzle,Whiskies,"Bourbon whiskey, Dry Vermouth, Pineapple Juice, Ginger beer"
Baltimore Bracer,Cocktail Classics,"Anisette, Brandy, Egg White"
Baltimore Bracer Cocktail,Cocktail Classics,"Old Mr. Boston Anisette, Old Mr. Boston Five Star Brandy, Egg White"
Barbary Coast Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Old Mr. Boston Rum, Old Mr. Boston Creme de Cacao, Desmond & Duff Scotch Whisky, Sweet Cream"
Barnaby's Buffalo Blizzard,Cocktail Classics,"White creme de cacao, Vodka, Galliano, Grenadine"
Barton Special,Cocktail Classics,"Applejack, Scotch, Gin"
Basil 8,Vodka,"Fresh basil leaves, White grapes, Vodka, Fresh Lime Juice, each Simple Syrup, angostura bitters"
Basin Street,Whiskies,"Bourbon whiskey, Triple Sec, Fresh lemon juice"
Beals Cocktail,Whiskies,"Blended Scotch Whiskey, Dry Vermouth, Sweet Vermouth"
Beer Buster,Vodka,"Vodka, Hot red pepper sauce"
Bella Fragolia,Vodka,"Strawberry, chopped, Fresh basil leaves, Vodka, Fresh lemon juice, Simple Syrup"
Bensonhurst,Whiskies,"Cynar, Straight rye whiskey, Dry Vermouth, Maraschino liqueur"
Bentley,Cocktail Classics,"Apple Brandy, Dubonnet"
Bermuda Rose,Cocktail Classics,"Gin, Apricot Flavored Brandy, Grenadine"
Bermuda Rose Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Old Mr. Boston Apricot Flavored Brandy, Grenadine"
Betsy Ross Cocktail,Cocktail Classics,"Old Mr. Boston Five Star Brandy, Port, Old Mr. Boston Triple Sec, Old Mr. Boston Dry Gin"
Between-The-Sheets Cocktail,Cocktail Classics,"Juice of a Lemon, Brandy, Triple Sec, Light Rum"
Bianca,Vodka,"Lime wedge, superfine sugar, Citrus-flavored vodka, Pomegranate juice, Fresh Lime Juice, Simple Syrup, Fresh lemon juice, lemon twiste, fresh pomegranate seeds"
Biffy Cocktail,Cocktail Classics,"Juice of a Lemon, Swedish Punch, Gin"
Big Red Hooter,Tequila,"Blanco tequila, Amaretto, Pineapple Juice, Grenadine"
Bijou Cocktail,Cocktail Classics,"Gin, Green Chartreuse, Sweet Vermouth, Orange Bitters"
Bikini,Vodka,"Vodka, Light Rum, Fresh lemon juice, Milk, Simple Syrup"
Billy Taylor,Cocktail Classics,"Juice of a Lime, Gin"
Bird-of-Paradise Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg White, Grenadine, Gin"
Black Cherry Chocolate,Vodka,"Black cherry-flavored vodka, White chocolate liqueur, Black cherry juice"
Black Hawk,Whiskies,"Bourbon whiskey, Sloe gin, Maraschino cherry"
Black Hawk Cocktail,Cocktail Classics,"Old Thompson Blended Whiskey, Old Mr. Boston Sloe Gin"
Black Magic,Vodka,"Vodka, Coffee liqueur, Fresh lemon juice"
Black Russian,Vodka,"Vodka, Coffee liqueur"
Black Velvet,Cocktail Classics,"Chilled Stout, Chilled Champagne"
Blarney Stone Cocktail,Whiskies,"Irish Whiskey, Anisette, Triple Sec, Maraschino liqueur, Angostura Bitters, Orange twist, green olive"
Blood and Sand,Whiskies,"Blended Scotch Whiskey, cherry-flavored brandy, Sweet Vermouth, Orange juice"
Blood Bronx Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Dry Vermouth, Juice of a Blood Orange"
Bloodhound Cocktail,Cocktail Classics,"Dry Vermouth, Sweet Vermouth, Gin"
Bloody Bull,Vodka,"Vodka, Tomato Juice, Cold beef bouillon"
Bloody Maria,Tequila,"Blanco tequila, Tomato Juice, Fresh lemon juice, Hot red pepper sauce, Celery Salt"
Bloody Mary,Vodka,"Vodka, Tomato Juice, Fresh Lime Juice, Worcestershire Sauce, hot red pepper sauce"
Bloody Scotsman,Whiskies,"Smoky Scotch whisky, such as Laphroaig, Tomato Juice, V8 cocktail juice, ketchup, Fresh Lime Juice, Simple Syrup, 3/4 oz"
Blue Bird,Cocktail Classics,"Gin, Triple Sec, Bitters"
Blue Canary,Cocktail Classics,"Gin, Grapefruit Juice, Blue curacao"
Blue Devil Cocktail,Cocktail Classics,"Gin, Juice of Lemon or Lime, Maraschino, Blue curacao"
Blue Lagoon,Vodka,"Vodka, Blue curacao, Fresh lemon juice, Simple Syrup"
Blue Margarita,Tequila,"Lime juice, coarse salt, Blanco tequila, Blue curacao, Fresh Lime Juice"
Bobby Burns Cocktail,Whiskies,"Blended Scotch Whiskey, Sweet Vermouth, Benedictine"
Bolero Cocktail,Cocktail Classics,"Old Mr. Boston Rum, Apple Brandy, Sweet Vermouth"
Bolshoi Punch,Vodka,"Vodka, Fresh lemon juice, Simple Syrup, Light Rum, Creme de Cassis"
Bordeaux Cocktail,Vodka,"Citrus-flavored vodka, Lillet Blanc"
Boston Bullet,Cocktail Classics,"Gin, Dry Vermouth"
Boston Gold,Vodka,"Vodka, Creme de banana, Fresh orange juice"
Boston Side Car,Cocktail Classics,"Mr. Boston Five Star Brandy, Mr. Boston Rum, Mr. Boston Triple Sec, Juice of a Lime"
Boston Sidecar Cocktail,Cocktail Classics,"Old Mr. Boston Five Star Brandy, Old Mr. Boston Rum, Old Mr. Boston Triple Sec, Juice of a Lime"
Boston Sour,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Blended whiskey, Egg White"
Bourbon A La Creme,Whiskies,"Bourbon whiskey, Dark creme de cacao, Vanilla liqueur"
Bourbon And Elder,Whiskies,"Bourbon whiskey, Elderflower liqueur, Angostura Bitters"
Bourbon and Water,Cocktail Classics,"Bourbon, Water"
Bourbon Cobbler,Cocktail Classics,"Bourbon, Lemon Juice, Grapefruit Juice, Almond extract"
Bourbon Cooler,Whiskies,"Bourbon whiskey, Fresh lemon juice, Grapefruit Juice, Orgeat Syrup"
Bourbon Crusta,Whiskies,"Lemon wedge, superfine sugar,  Long, wide spiral of orange zest, Bourbon whiskey, Triple Sec, Maraschino liqueur, Fresh lemon juice, Orange Bitters"
Bourbon Highball,Whiskies,Bourbon whiskey
Bourbon On The Rocks,Cocktail Classics,Bourbon
Bourbon Renewal,Whiskies,"Bourbon whiskey, Fresh lemon juice, Creme de Cassis, Simple Syrup, Angostura Bitters"
Brandy Alexander,Cocktail Classics,"Creme de Cacao (Brown), Brandy, Heavy cream"
Brandy and Soda,Cocktail Classics,Brandy
Brandy Crusta Cocktail,Cocktail Classics,"Maraschino, Bitters, Lemon Juice, Triple Sec, Brandy"
Brandy Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Brandy, Light Cream (if desired)"
Brandy Milk Punch,Cocktail Classics,"Powdered Sugar, Brandy, Milk"
Brandy Squirt,Cocktail Classics,"Brandy, Powdered Sugar, Grenadine"
Brandy Vermouth Cocktail,Brandy,"Brandy, Sweet Vermouth, Angostura Bitters"
Brantini,Cocktail Classics,"Brandy, Gin, Dry Vermouth"
Brave Bull,Tequila,"Blanco tequila, Coffee liqueur"
Bravo,Tequila,"Anejo tequila, Agave nectar, Angostura Bitters, Orange Bitters"
Brighton Punch,Whiskies,"Bourbon whiskey, Brandy, Benedictine, Orange juice, Fresh lemon juice"
Bronx Cocktail (Dry),Cocktail Classics,"Gin, Dry Vermouth, Juice of Orange"
Bronx Golden Cocktail,Cocktail Classics,"Gin, Sweet Vermouth, Dry Vermouth, Orange"
Bronx SIlver Cocktail,Cocktail Classics,"Juice of Orange, Egg White, Dry Vermouth, Gin"
Bronx Terrace Cocktail,Cocktail Classics,"Gin, Dry Vermouth, Juice of a Lime"
Brooklyn,Whiskies,"Rye or bourbon whiskey, Sweet Vermouth, Amer Picon or Torani Amer, Maraschino liqueur"
Brown Cocktail,Cocktail Classics,"Gin, Light Rum, Dry Vermouth"
Brunswick Street Cocktail,Brandy,"Cognac, Sweet sherry, preferably Pedro Ximenez, Egg Yolk"
Buckjones,Cocktail Classics,"Light Rum, Sweet Sherry, Juice of a Lime"
Bucks Fizz,Cocktail Classics,orange juice
Bucks Fizz (Mimosa),Cocktail Classics,Orange Juice
Buddy's Favorite,Cocktail Classics,"Bourbon, Cold Water"
Bull And Bear,Whiskies,"Bourbon whiskey, Orange curacao, Fresh lemon juice, Grenadine"
Bull Shot,Vodka,"Vodka, Cold beef bouillon, Worcestershire Sauce, Salt, Freshly ground black pepper"
Bull's Eye,Cocktail Classics,"Brandy, Hard cider"
Bull's Milk,Brandy,"Brandy, Light Rum, Simple Syrup, Milk"
Bulla's Eye,Brandy,"Brandy, Hard cider"
Bulldog Cocktail,Brandy,"cherry-flavored brandy, Gin, Fresh lemon juice"
Bulldog Highball,Cocktail Classics,"Juice of Orange, Gin"
Bulldog Highballl,Cocktail Classics,"Juice of Orange, Gin"
Bullfrog,Vodka,"Vodka, Lemonade"
Bum's Rush,Tequila,"Blanco tequila, Triple Sec, Honey liqueur, Fresh Lime Juice, Fresh apple cider"
Bushranger,Cocktail Classics,"Light Rum, Dubonnet, Bitters"
Button Hook Cocktail,Cocktail Classics,"Creme de Menthe (White), Apricot Flavored Brandy, Anisette, Brandy"
Cabaret Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Bitters, Dry Vermouth, Benedictine"
Cablegram,Whiskies,"Bourbon whiskey, Fresh lemon juice, Simple Syrup, Ginger ale"
Cablegram Highball,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Old Thompson Blended Whiskey"
Cactus Berry,Tequila,"Blanco tequila, Red wine, each Triple Sec, simple syrup, each Fresh lemon juice, fresh lime juice, Lemon-lime soda"
Cadiz,Brandy,"Blackberry-flavored brandy, Dry Sherry, Triple Sec, half-and-half"
Caesar,Vodka,"Lemon wedge, celery salt, Vodka, Tomato-clam juice, Prepared horseradish, each Worcestershire Sauce, salt, ground black pepper"
Caf_ di Amaretto,Cocktail Classics,"Hot Black Coffee, Amaretto"
Cafe De Paris Cocktail,Cocktail Classics,"Egg White, Anis, Light cream, Gin"
Cafe di Saronno,Cocktail Classics,Amaretto di Saronno
Caledonia,Cocktail Classics,"Creme de Cacao (Brown), Brandy, Milk, Egg Yolk"
California Lemonade,Whiskies,"Bourbon whiskey, Fresh lemon juice, Fresh Lime Juice, Simple Syrup, Grenadine, Soda water, Orange and lemon wheels, maraschino cherry"
Calm Voyage,Cocktail Classics,"Strega, Light Rum, Passion Fruit Syrup, Lemon Juice, Egg White"
Calvados Cocktail,Brandy,"Calvados, Orange juice, Triple Sec, Orange Bitters"
Cameron's Kick Cocktail,Whiskies,"Blended Scotch Whiskey, Irish Whiskey, Fresh lemon juice, Orange Bitters"
Camino Del Ray,Tequila,"Anejo tequila, Oloroso sherry, Drambuie, Rhubarb bitters"
Canadian Breeze,Whiskies,"Canadian whisky, Pineapple Juice, Fresh lemon juice, Maraschino liqueur, Pineapple wedge, maraschino cherry"
Canadian Cherry,Whiskies,"Maraschino liqueur, Canadian whisky, Maraschino liqueur, Fresh lemon juice, Orange juice"
Canadian Cocktail,Whiskies,"Canadian whisky, Triple Sec, Simple Syrup, Angostura Bitters"
Canadian Pineapple,Cocktail Classics,"Canadian whisky, Pineapple Juice, Lemon Juice, Maraschino"
Canal Street Daisy,Whiskies,"Blended Scotch Whiskey, Orange juice, Fresh lemon juice, Soda water, Orange wheel"
Cape Codder,Tequila,"Vodka, Cranberry Juice, Old Mr. Boston Anisette, Old Mr. Boston Five Star Brandy, Egg White"
Cappuccino Cocktail,Vodka,"Vodka, Coffee-flavored brandy, half-and-half, Vodka, Cranberry Juice"
Cara Sposa,Brandy,"Coffee-flavored brandy, Triple Sec, half-and-half"
Caribbean Champagne,Cocktail Classics,"Light Rum, Creme de banana"
Caribbean Cruise,Vodka,"Vodka, Light Rum, Coconut-flavored rum, Grenadine, Pineapple Juice"
Carre Reprise,Whiskies,"Straight rye whiskey, Cognac, Sweet Vermouth, Elderflower liqueur, Angostura Bitters, Peychaud's Bitters"
Carrol Cocktail,Cocktail Classics,"Brandy, Sweet Vermouth"
Carroll Cocktail,Brandy,"Brandy, Sweet Vermouth"
Caruso,Cocktail Classics,"Gin, Dry Vermouth, Green creme de menthe"
Casa Blanca,Cocktail Classics,"Light Rum, Lime Juice, Triple Sec, Maraschino"
Casco Bay Lemonade,Vodka,"Citrus-flavored vodka, Simple Syrup, Fresh lemon juice, Cranberry Juice"
Catalina Margarita,Tequila,"Blanco tequila, Peach schnapps, Blue curacao, Simple Syrup, Fresh lemon juice"
Champagne Flamingo,Vodka,"Vodka, Campari, Chilled Champagne"
Champagne Velvet,Cocktail Classics,"Chilled Stout, Chilled Champagne"
Champs Elysees Cocktail,Brandy,"Brandy, Yellow Chartreuse, Fresh lemon juice, Simple Syrup, Angostura Bitters"
Chancellor Cocktail,Whiskies,"Blended Scotch Whiskey, Dry Vermouth, Tawny port, Peychaud's Bitters"
Chapala,Tequila,"Reposado tequila, Orange juice, Fresh lemon juice, Grenadine"
Chapel Hill,Whiskies,"Bourbon whiskey, Triple Sec, Fresh lemon juice"
Chaplin,Whiskies,"Bourbon whiskey, Dry Sherry, Ramazzotti Amaro, Triple Sec, Orange Bitters"
Character Development,Whiskies,"Scotch Whiskey, Coconut liqueur, Dry Sherry, Grapefruit bitters"
Charles Cocktail,Brandy,"Brandy, Sweet Vermouth, Angostura Bitters"
Chas,Whiskies,"Bourbon whiskey, Amaretto, Benedictine, Triple Sec, Orange curacao"
Chateau Briand's Rum Cow,Cocktail Classics,"Dark rum, Sugar, Bitters, Milk"
Chef's Pain,Vodka,"Bourbon whiskey, Fresh Lime Juice, Blackberry liqueur, B & B"
Chelsea Sidecar Cocktail,Cocktail Classics,"Juice of a Lemon, Old Mr. Boston Triple Sec, Old Mr. Boston Dry Gin"
Cherry Blossom,Brandy,"Brandy, cherry-flavored brandy, Fresh lemon juice, Triple Sec, Grenadine, maraschino cherry"
Cherry Blossom Cocktail,Cocktail Classics,"Old Mr. Boston Five Star Brandy, Old Mr. Boston Wild Cherry Flavored Brandy, Old Mr. Boston Triple Sec, Grenadine, Lemon Juice"
Cherry Cooler,Cocktail Classics,Cherry Vodka
Cherry Fizz,Cocktail Classics,"Juice of a Lemon, cherry-flavored brandy"
Cherry Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, cherry-flavored brandy, Light Cream (if desired)"
Cherry Rum,Cocktail Classics,"Light Rum, cherry-flavored brandy, Light cream"
Cherry Sling,Cocktail Classics,"cherry-flavored brandy, Juice of a Lemon"
Cherry Wine Cocktail,Cocktail Classics,"Danish Cherry Wine, Vodka, Juice of a Lime"
Chi-Town Flip,Whiskies,"Bourbon whiskey, Tawny port, Fresh lemon juice, Vanilla liqueur and 3 oz, Simple Syrup, Whole Egg and grated nutmet"
Chicago Cocktail,Brandy,"Lemon wedge, superfine sugar, Brandy, Fresh lemon juice, Orange curacao, Maraschino liqueur"
Chicago Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg White, Port, Light Rum"
Chinchona,Tequila,"Anejo tequila, Lillet Rouge, Orange curacao, Orange Bitters"
Chocolate Cocktail,Cocktail Classics,"Port, Yellow Chartreuse, Egg Yolk, Powdered Sugar"
Chocolate Daisy,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Grenadine, Brandy, Port"
Chocolate Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Sloe gin, Brandy, Light Cream (if desired)"
Chocolate Soldier,Cocktail Classics,"Juice of a Lime, Dubonnet, Gin"
Chocolate Soldier Cocktail,Cocktail Classics,"Juice of a Lime, Dubonnet, Old Mr. Boston Dry Gin"
Chupa Cabra,Tequila,"Blanco tequila, Fresh grapefruit juice, Fresh Lime Juice, Campari, Simple Syrup, Angostura Bitters, lime wheel"
Cider Eggnog,Cocktail Classics,"Whole Egg, Powdered Sugar, Milk"
Citronella Cooler,Vodka,"Citrus-flavored vodka, Fresh Lime Juice, Lemonade, Cranberry Juice"
Clamato Cocktail,Cocktail Classics,"Vodka, Clam Juice, Tomato Juice"
Classic Cocktail,Cocktail Classics,"Juice of a Lemon, Curacao, Maraschino, Brandy"
Clove Cocktail,Cocktail Classics,"Sweet Vermouth, Sloe gin, Muscatel Wine"
Clover Club Cocktail,Cocktail Classics,"Juice of a Lemon, Grenadine, Egg White, Gin"
Clover Leaf Cocktail,Cocktail Classics,"Juice of a Lime, Grenadine, Egg White, Gin"
Coffee Cocktail,Cocktail Classics,"Whole Egg, Powdered Sugar, Port, Brandy"
Coffee Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Brandy, Port, Light Cream (if desired)"
Coffee Grasshopper,Brandy,"Coffee-flavored brandy, White creme de menthe, half-and-half"
Coffee Old-Fashioned,Whiskies,"Bourbon whiskey, Simple Syrup, Angostura Bitters, Cold brewed coffee, Soda water"
Coffee Sour,Cocktail Classics,"Coffee-flavored brandy, Lemon Juice, Powdered Sugar, Egg White"
Cognac Coupling,Cocktail Classics,"Cognac, Tawny port, Anis, Lemon Juice"
Cognac Highball,Brandy,Cognac
Cold Deck Cocktail,Brandy,"Brandy, Sweet Vermouth, White creme de menthe"
Cole's Raspberry Cream,Cocktail Classics,"Raspberry Yogurt, Raspberry Ice Cream, White creme de cacao, Vodka, Heavy cream"
Combo,Cocktail Classics,"Dry Vermouth, Brandy, Triple Sec, Powdered Sugar, Bitters"
Commodore Cocktail,Whiskies,"Bourbon Whiskey, White creme de cacao, Fresh lemon juice, Grenadine"
Company B,Tequila,"Whole strawberry, hulled, Blanco tequila, Campari, Triple Sec, Fresh lemon juice, Agave nectar, strawberry slice"
Cool Carlos,Cocktail Classics,"Dark rum, Cranberry Juice, Pineapple Juice, Orange curacao, Sour Mix"
Cornell Cocktail,Cocktail Classics,"Lemon Juice, Maraschino, Egg White, Gin"
Coronation Cocktail,Cocktail Classics,"Gin, Dubonnet, Dry Vermouth"
Corpse Reviver No. 1,Brandy,"Cognac, Calvados, apple brandy, or applejack, Sweet Vermouth"
Cosmopolitan,Vodka,"Vodka, Fresh Lime Juice, Triple Sec, Cranberry Juice"
Cotton Club Flip,Whiskies,"Vanilla-Infused Bourbon, Honey-Currant Syrup, Fresh Lime Juice, Egg White, Rhubarb bitters"
Count Camillo's Paloma,Tequila,"Blanco tequila, Sweet Vermouth, Campari, Grapefruit soda"
Cowboy Cocktail,Cocktail Classics,"Blended whiskey, Light cream"
Creamsicle,Cocktail Classics,"Vanilla liqueur, Milk, Orange Juice"
Creamy Orange,Cocktail Classics,"Orange Juice, Cream sherry, Brandy, Light cream"
Creamy Screwdriver,Cocktail Classics,"Vodka, Egg Yolk, Orange Juice, Sugar"
Creme De Cafe,Brandy,"Coffee-flavored brandy, Light Rum, Anisette, half-and-half"
Creme de Gin Cocktail,Cocktail Classics,"Gin, White creme de menthe, Egg White, Lemon Juice, Orange Juice"
Creole Lady,Whiskies,"Bourbon whiskey, Madeira, Grenadine"
Creole Lady Cocktail,Cocktail Classics,"Old Kentucky Tavern Bourbon Whiskey, Madeira, Grenadine"
Crocodile Cooler,Vodka,"Citrus-flavored vodka, Melon liqueur, Triple Sec, Simple Syrup, Fresh lemon juice"
Cuban Cocktail No. 1,Cocktail Classics,"Juice of a Lime, Powdered Sugar, Light Rum"
