name,category,ingredients
K.G.B. Cocktail,Cocktail Classics,"Kummel, Gin, Apricot-Flavored Brandy, Lemon Juice"
Katana,Vodka,"Cucumber slices, Vodka, Sake, Fresh Lime Juice, Simple Syrup, Cucumber"
Kiss the Boys Goodbye,Cocktail Classics,"Sloe gin, Brandy, Egg White, Juice of a Lemon"
Knickerbocker Special Cocktail,Rum - Daiquiris,"Light Rum, Triple Sec, Fresh lemon juice, Orange juice, Raspberry Syrup"
Knock-Out Cocktail,Cocktail Classics,"Anisette, Gin, Dry Vermouth, Creme de Menthe (White)"
Ko Adang,Rum - Daiquiris,"Dark rum, Coconut rum, Ginger liqueur, Mango nectar, Cream of coconut, Fresh Lime Juice, lime wheel"
Kretchma Cocktail,Vodka,"Vodka, White creme de cacao, Fresh lemon juice, Grenadine"
Kup's Indispensable Cocktail,Cocktail Classics,"Light Vermouth, Dry Vermouth, Gin, Bitters"
L.A. Sunrise,Vodka,"Vodka, Creme de banana, Fresh orange juice, Pineapple Juice, Dark rum"
L'italienne,Vodka,"Vodka, Lillet Blanc, Ramazzotti Amaro, Orange Bitters"
La Bomba,Tequila,"Gold tequila, Triple Sec, Pineapple Juice, Orange juice, Grenadine, lime wheel"
La Perla,Tequila,"Reposado tequila, Manzanilla sherry, Pear liqueur"
La Ultima Palabra,Tequila,"Blanco tequila, Fresh grapefruit juice, Fresh Lime Juice, Yellow Chartreuse, Maraschino liqueur"
La Vita Dulce,Rum - Daiquiris,"Spiced rum, Mezcal, Fresh Lime Juice, Simple Syrup"
Lady Love Fizz,Cocktail Classics,"Powdered Sugar, Juice of a Lemon, Egg White, Gin, Light cream"
Lasky Cocktail,Cocktail Classics,"Grape Juice, Swedish Punch, Gin"
Le Paradini,Vodka,"Vodka, Raspberry-flavored liqueur, Grand Marnier, Chilled Champagne"
Leap Frog Highball,Cocktail Classics,"Juice of a Lemon, Gin"
Leap Year Cocktail,Cocktail Classics,"Gin, Orange Flavored Gin, Sweet Vermouth, Lemon Juice"
Leaves Of Grass,Vodka,"Aquavit, Old Tom gin, Demerara Syrup, Orange Bitters, Absinthe"
Lemon Crush,Vodka,"Lemon wedge, superfine sugar, Citrus-flavored vodka, Crema di limoncello, Triple Sec, Fresh lemon juice"
Lemon Drop,Vodka,"Lemon wedge, superfine sugar, lemon-flavored vodka, Fresh lemon juice, Simple Syrup"
Lemonade (Egg),Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Whole Egg"
Lemonade (Golden),Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg Yolk, Water"
Level headed Cocktail,Rum - Daiquiris,"Aged rhum agricole, Cold brewed coffee, Allspice liqueur (pimento dram), Simple Syrup, Angostura Bitters"
Lights On The Plaza,Vodka,"Cucumber slices, chopped, Fresh lemon juice, Simple Syrup, Acai berry flavored vodka, Black raspberry liqueur, Sparkling wine, raspberry and cucumber"
Lil Naue,Cocktail Classics,"Brandy, Port, Apricot-Flavored Brandy, Powdered Sugar, Egg Yolk"
Lillypad,Tequila,"Blanco tequila, each Lillet Blanc and Lillet Rouge, Apple juice, Fresh Lime Juice, Agave nectar"
Lime Giant,Cocktail Classics,Lime Vodka
Limestone,Cocktail Classics,Bourbon
Limey,Cocktail Classics,"Light Rum, Lime Liqueur, Triple Sec, Lime Juice"
Limoncello Manzanilla Marmalade Sour,Vodka,"Citrus-flavored vodka, Limoncello, Manzanilla sherry, Fresh lemon juice, Grapefruit marmalade"
Little Devil Cocktail,Rum - Daiquiris,"Light Rum, Gin, Fresh lemon juice, Triple Sec"
Little Princess Cocktail,Rum - Daiquiris,"Light Rum, Sweet Vermouth"
London Buck,Cocktail Classics,"Gin, Juice of a Lemon"
London Special Cocktail,Cocktail Classics,bitters
Lone Tree Cocktail,Cocktail Classics,"Sweet Vermouth, Gin"
Long Island Iced Tea,Vodka,"Vodka, Blanco tequila, Gin, Light Rum, Triple Sec, Simple Syrup, 1/2 oz"
Long Island Tea,Cocktail Classics,"Vodka, Gin, Light Rum, Tequila, Juice of a Lemon"
Look Out Below,Rum - Daiquiris,"151-Proof Rum, Fresh Lime Juice, Grenadine"
Los Angeles Cocktail,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Whole Egg, Sweet Vermouth, Blended whiskey"
Lounge Lizard,Rum - Daiquiris,"Dark rum, Amaretto"
Love Cocktail,Cocktail Classics,"Sloe gin, Egg White, Lemon Juice, Raspberry Juice"
Lugger,Cocktail Classics,"Brandy, Apple Brandy, Apricot Flavored Brandy"
Lumination,Rum - Daiquiris,"Fresh ginger, Simple Syrup, Dark rum, VS cognac, each Fresh lemon juice, Angostura bitters"
Lychee Lucy,Vodka,"Vodka, Lychee liqueur, Fresh orange juice, Pineapple Juice, Angostura Bitters"
Madras,Vodka,"Vodka, Cranberry Juice, Orange juice"
Mai-Tai (Trader Vic Version),Rum - Daiquiris,"Dark rum, preferably Jamaican, Orange curacao, Fresh lime juice (reserve 1/2 lime shell for garnish), Orgeat Syrup, Rock candy syrup or simple syrup"
Maiden's Prayer,Cocktail Classics,"Gin, Triple Sec, Lemon Juice"
Malmaison,Rum - Daiquiris,"Light Rum, Cream sherry, Fresh lemon juice"
Mamie Taylor,Cocktail Classics,"Juice of a Lime, Desmond & Duff Scotch Whisky"
Mamie's Sister,Cocktail Classics,"Juice of a Lime, Gin"
Mandarine Mist,Cocktail Classics,Mandarine Napoleon Liqueur
Mandarine Sour,Cocktail Classics,"Mandarine Napoleon Liqueur, Lemon Juice"
Mandeville,Rum - Daiquiris,"Light Rum, Dark rum, Fresh lemon juice, Anisette, Grenadine"
Manhattan Cocktail (dry),Cocktail Classics,"Dry Vermouth, Old Thompson Blended Whiskey"
Manila Fizz,Cocktail Classics,"Gin, Whole Egg, Powdered Sugar, Root Beer, Juice of a Lime"
Maracuya Mosquito,Vodka,"Fresh basil leaves, Vodka, Green Chartreuse, Fresh Lime Juice, Simple Syrup, Passion Fruit Juice, basil leaf"
Margarita,Cocktail Classics,"Blanco tequila, Cointreau or triple sec, Fresh Lime Juice"
Margarita Cocktail,Cocktail Classics,"Old Mr. Boston Tequila, Old Mr. Boston Triple Sec, Lemon or Lime Juice"
Margarita Tequila,Shooters,"Blanco tequila, Cointreau triple sec, Fresh Lime Juice"
Mariposa,Rum - Daiquiris,"Light Rum, Brandy, Fresh lemon juice, Orange juice, Grenadine"
Mariposa Cocktail,Cocktail Classics,"Old Mr. Boston Rum, Old Mr. Boston Five Star Brandy, Lemon Juice, Orange Juice, Grenadine"
Martini,Cocktail Classics,"Mr. Boston Gin, Dry Vermouth"
Martini (Dry) (5-to-1),Cocktail Classics,"Gin, Dry Vermouth"
Martini (Medium),Cocktail Classics,"Gin, Dry Vermouth, Sweet Vermouth"
Martinique Rose,Rum - Daiquiris,"Aged rhum agricole, Amaretto, Fresh Lime Juice, Grapefruit Juice, orgeat or almond syrup"
Mary Garden Cocktail,Cocktail Classics,"Dubonnet, Dry Vermouth"
Mary Pickford Cocktail,Rum - Daiquiris,"Light Rum, Pineapple Juice, Maraschino liqueur, Grenadine"
May Blossom Fizz,Cocktail Classics,"Grenadine, Juice of a Lemon, Swedish Punch"
May Blosson Fizz,Cocktail Classics,"Grenadine, Juice of a Lemon, Swedish Punch"
Melon Cocktail,Cocktail Classics,"Gin, Lemon Juice, Maraschino"
Merry Widow Cocktail No. 2,Cocktail Classics,"Maraschino, cherry-flavored brandy"
Merry Widow Fizz,Cocktail Classics,"Juice of Orange, Juice of a Lemon, Egg White, Powdered Sugar, Sloe gin"
Mexican Firing Squad,Tequila,"Blanco tequila, Simple Syrup, Fresh Lime Juice, pomegranate molasses (available at Middle Eastern grocers), Angostura Bitters"
Mexican Madras,Tequila,"Blanco tequila, Cranberry Juice, Orange juice, Fresh Lime Juice"
Mexican Monk,Tequila,"Reposado tequila, Dry Sherry, Coffee liqueur, Benedictine"
Mexicana,Tequila,"Blanco tequila, Fresh lemon juice, Pineapple Juice, Grenadine"
Mexicola,Tequila,"Blanco tequila, Fresh Lime Juice"
Midnight Express,Rum - Daiquiris,"Dark rum, Triple Sec, Fresh Lime Juice, Fresh lemon juice, Simple Syrup"
Milk Punch,Cocktail Classics,"Powdered Sugar, Blended whiskey, Milk"
Million-Dollar Cocktail,Cocktail Classics,"Pineapple Juice, Grenadine, Egg White, Sweet Vermouth, Gin"
Millionaire Cocktail,Cocktail Classics,"Egg White, Grenadine, Triple Sec, Blended whiskey"
Minnehaha Cocktail,Cocktail Classics,"Juice of Orange, Dry Vermouth, Sweet Vermouth, Old Mr. Boston Dry Gin"
Mint Collins,Cocktail Classics,"Juice of a Lemon, Mint-Flavored Gin"
Mint Gin Cocktail,Cocktail Classics,"Mint-Flavored Gin, White Port Wine, Dry Vermouth"
Mint Julep (Southern Style),Cocktail Classics,"springs mint, Powdered Sugar, Water, Bourbon"
Miss Jones,Vodka,"Vanilla-flavored vodka, Fresh lemon juice, Butterscotch schnapps, Limoncello"
Mocha Express,Vodka,"Vodka, Irish cream liqueur, Coffee liqueur, Cold brewed espresso coffee"
Mojito,Rum - Daiquiris,"Lime wedges, Fresh mint leaves, Simple Syrup, Light Rum"
Monkey Wrench,Rum - Daiquiris,Light Rum
Monte Carlo Imperial Highball,Cocktail Classics,"Gin, White creme de menthe, Juice of a Lemon"
Montezuma,Cocktail Classics,"Tequila, Madeira, Egg Yolk, Crushed ice"
Montreal Club Bouncer,Cocktail Classics,"Gin, Anisette"
Montreal Gin Sour,Cocktail Classics,"Gin, Lemon Juice, Egg White, Powdered Sugar"
Moonquake Shake,Rum - Daiquiris,"Dark rum, Coffee-flavored brandy, Fresh lemon juice"
Morning Glory Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg White, Anis, Scotch"
Moscow Mule,Vodka,"Vodka, Fresh Lime Juice"
Moulin Rouge Cocktail,Cocktail Classics,"Old Mr. Boston Sloe Gin, Sweet Vermouth, Bitters"
Mountain Cocktail,Cocktail Classics,"Egg White, Lemon Juice, Dry Vermouth, Sweet Vermouth, Blended whiskey"
Mr. 404,Vodka,"Vodka, Elderflower liqueur, Fresh lemon juice, Simple Syrup, Aperol"
Napoleon,Cocktail Classics,"Gin, Curacao, Dubonnet"
Napoleon Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Curacao, Dubonnet"
Nevada Cocktail,Rum - Daiquiris,"Light Rum, Grapefruit Juice, Fresh Lime Juice, Simple Syrup, Angostura Bitters"
New Orleans Buck,Rum - Daiquiris,"Light Rum, Fresh orange juice, Fresh lemon juice"
New Orleans Gin Fizz,Cocktail Classics,"Juice of a Lemon, Juice of a Lime, Powdered Sugar, Egg White, Gin, Light cream, 1/2 oz"
Night Cap,Rum - Daiquiris,"Light Rum, Simple Syrup"
Nijinksy Blini,Vodka,"Vodka, Peach schnapps, Peach puree, Fresh lemon juice"
Nineteenth Hole,Cocktail Classics,"Gin, Dry Vermouth, Sweet Vermouth, Bitters"
Ninotchka Cocktail,Vodka,"Vodka, White creme de cacao, Fresh lemon juice"
No. 8,Tequila,"Reposado tequila, Palo cortado or oloroso sherry, Honey liqueur, Orange Bitters"
North Pole Cocktail,Cocktail Classics,"Egg White, Lemon Juice, Maraschino, Gin"
"Oh, Gosh!",Rum - Daiquiris,"Light Rum, Triple Sec, Fresh Lime Juice"
Oldest Temptation,Tequila,"Anejo tequila, Apple juice, Fresh lemon juice, Triple Sec, Simple Syrup, Angostura Bitters, flamed lemon twist"
Opening Cocktail,Cocktail Classics,"Grenadine, Sweet Vermouth, Blended whiskey"
Opera Cocktail,Cocktail Classics,"Maraschino, Dubonnet, Gin"
Orange Blossom Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Orange Juice, Powdered Sugar"
Orange Gin Collins,Cocktail Classics,"Juice of a Lemon, Old Mr. Boston Orange Flavored Gin"
Orange Gin Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Old Mr. Boston Orange Flavored Gin"
Orange Gin Highball,Cocktail Classics,Old Mr. Boston Orange Flavored Gin
Orange Gin Rickey,Cocktail Classics,"Juice of a Lime, Old Mr. Boston Orange Flavored Gin"
Orange Milk Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Old Mr. Boston Orange Flavored Gin, Milk"
Orange Smile,Cocktail Classics,"Egg, Juice of Orange, Grenadine"
Orchid Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Egg White, Creme Yvette"
Outrigger,Cocktail Classics,"Peach-flavored brandy, Lime Vodka, Pineapple Juice"
Pacific Sunshine,Tequila,"Lemon wheel, coarse salt, Blanco tequila, Blue curacao, Simple Syrup, Fresh lemon juice, Angostura Bitters"
Pacman,Cocktail Classics,"Lemon Juice, Grenadine, Bitters"
Paddington,Rum - Daiquiris,"Absinthe, Light Rum, Lillet Blanc, Fresh grapefruit juice, Fresh lemon juice, Orange marmalade, grapefruit twist"
Palmer Cocktail,Cocktail Classics,"Blended whiskey, Bitters, Lemon Juice"
Palmetto Cocktail,Rum - Daiquiris,"Light Rum, Dry Vermouth, Angostura Bitters"
Paloma,Tequila,Blanco tequila
Paloma (Natural),Tequila,"Blanco tequila, Fresh white or ruby red grapefruit juice"
Pancho Villa,Tequila,"Anejo tequila, Aperol, Sweet Vermouth, Peach bitters"
Paris When It Sizzles,Rum - Daiquiris,"Elderflower liqueur, Dark rum, Fresh Lime Juice, Angostura Bitters"
Parisian Blonde Cocktail,Cocktail Classics,"Sweet Cream, Old Mr. Boston Triple Sec, Jamaica Rum"
Passion Daiquiri Cocktail,Cocktail Classics,"Old Mr. Boston Rum, Juice of a Lime, Powdered Sugar, Passion Fruit Juice"
Passion Mimosa,Cocktail Classics,Chilled Passion Fruit Juice
Peach Blossom,Cocktail Classics,"Lemon Juice, Powdered Sugar, Gin, Peach"
Peach Blow Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Light cream, Gin, Peach"
Peach Iced Tea,Vodka,"Peach-flavored vodka, Orange curacao, Fresh lemon juice, Honey Syrup, Iced tea"
Pearl Button,Rum - Daiquiris,"Cachaca (Brazilian rum), Lillet Blanc, Fresh Lime Juice"
Peggy Cocktail,Cocktail Classics,"Dry Vermouth, Gin, Anis, Dubonnet"
Petit Zinc,Vodka,"Vodka, Triple Sec, Sweet Vermouth, Orange juice"
Phoebe Snow,Cocktail Classics,"Dubonnet, Brandy, Anis"
Phoebe Snow Cocktail,Cocktail Classics,"Dubonnet, Old Mr. Boston Five Star Brandy, Absinthe Substitute"
Pickled Martini,Vodka,"Vodka, Dry Vermouth, Sweet pickle brine, Sweet pickle slice"
Pickled Pink,Vodka,"Vodka, Aquavit, Dill pickle brine, Angostura Bitters"
Pike's Peak Cooler,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Whole Egg"
Pina Agave,Tequila,"Cucumber, Blanco tequila, Pineapple Juice, Fresh lemon juice, Agave nectar"
Pineapple Cocktail,Rum - Daiquiris,"Light Rum, Pineapple Juice, Fresh lemon juice"
Pineapple Dream Cocktail,Cocktail Classics,"Pineapple Juice, Juice of a Lime, Old Mr. Boston Imported Rum"
Pineapple Fizz,Rum - Daiquiris,"Light Rum, Pineapple Juice, Simple Syrup"
Ping-Pong Cocktail,Cocktail Classics,"Juice of a Lemon, Egg White, Sloe gin"
Pink Creole,Rum - Daiquiris,"Light Rum, Fresh Lime Juice, Grenadine, half-and-half"
Pink Lady Cocktail,Cocktail Classics,"Egg White, Grenadine, Sweet Cream, Old Mr. Boston Dry Gin"
Pink Lemonade,Vodka,"Citrus-flavored vodka, Triple Sec, Fresh Lime Juice, Fresh lemon juice, Simple Syrup, Cranberry Juice, lemon wheel"
Pink Paradise,Rum - Daiquiris,"Coconut-flavored rum, Amaretto, Cranberry Juice, Pineapple Juice"
Pink Pussycat,Vodka,"Vodka, Pineapple or grapefruit juice, Grenadine"
Pink Rose Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg White, Light cream, Gin"
Pink Squirrel Cocktail,Cocktail Classics,"Mr. Boston Creme de Noyaux, Old Mr. Boston White Creme de Cacao, Light Sweet Cream"
Plain Vermouth Cocktail,Cocktail Classics,"Dry Vermouth, Sweet Vermouth, Orange Bitters"
Planter's Cocktail,Rum - Daiquiris,"Jamaica Rum, Fresh lemon juice, Simple Syrup"
Planter's Punch No. 1,Rum - Daiquiris,"Light Rum, Fresh Lime Juice, Simple Syrup, Soda water, Grenadine"
Planter's Punch No. 2,Rum - Daiquiris,"Light Rum, Orange juice, each Fresh Lime Juice, jamaica rum, grenadine, Pineapple Juice, each Fresh lemon juice, triple sec"
Plaza Cocktail,Cocktail Classics,"Sweet Vermouth, Dry Vermouth, Gin"
Poker Cocktail,Rum - Daiquiris,"Light Rum, Sweet Vermouth"
Pollyanna Cocktai,Cocktail Classics,"Orange, Pineapple, Gin, Sweet Vermouth, Grenadine"
Pollyanna Cocktail,Cocktail Classics,"orange peel, pineapple, Old Mr. Boston Dry Gin, sweet vermouth"
Polonaise,Cocktail Classics,"Brandy, Blackberry-flavored brandy, Dry Sherry, Lemon Juice"
Polynesian Cocktail,Vodka,"Vodka, cherry-flavored brandy, Fresh Lime Juice"
Port Wine Cobbler,Cocktail Classics,"powdered sugar, carbonated water, port"
Port Wine Flip,Cocktail Classics,"Whole Egg, Powdered Sugar, Port, Light Cream (if desired)"
Pousse L'Amour,Cocktail Classics,"Maraschino, Egg Yolk, Benedictine, Brandy"
Prado,Cocktail Classics,"Tequila, Lemon Juice, Maraschino, Egg White, Grenadine"
Praire Chicken,Cocktail Classics,"Old Mr. Boston Dry Gin, Whole Egg"
Praire Oyster Cocktail,Cordials and Liqueurs,"Old Mr. Boston Five Star Brandy, Worcestershire Sauce, Tomato Catsup, Vinegar, Pepper"
Prairie Chicken,Cocktail Classics,"Gin, Whole Egg"
Prairie Oyster,Cocktail Classics,"Brandy, Worcestershire Sauce, Catsup, Vinegar, Pepper"
Prairie Oyster Cocktail,Cocktail Classics,"Old Mr. Boston Five Star Brandy, Worcestershire Sauce, Tomato Catsup, Vinegar, Pepper, Egg Yolk, 1 oz"
Pretty In Pink,Vodka,"Vodka, Cranberry Juice, Creme de noyaux, Fresh lemon juice"
Prince's Smile Cocktail,Cocktail Classics,"Old Mr. Boston Apricot Flavored Brandy, Apple Brandy, Old Mr. Boston Dry Gin, Lemon Juice"
Priority Cocktail,Vodka,"Vodka, Calvados, Coffee liqueur"
Prohibition Punch,Rum - Daiquiris,"Dark rum, Grand Marnier, Passion Fruit Juice, Cranberry Juice, Fresh lemon juice, Champagne"
Puerto Apple,Cocktail Classics,"Applejack, Light Rum, Lime Juice, Orgeat Syrup"
Puerto Rican Rum Daisy,Rum - Daiquiris,"Dark rum, Orange curacao, Fresh lemon juice, each Orange juice and simple syrup, Angostura Bitters"
Purple Mask,Vodka,"Vodka, Concord grape juice, White creme de cacao"
Purple Pancho,Tequila,"Lime wedge, superfine sugar, Blanco tequila, Blue curacao, Sloe gin, Fresh Lime Juice, each Fresh lemon juice, simple syrup, 1 lime wheel"
Purple Passion,Vodka,"Vodka, Grapefruit Juice, Concord grape juice, Simple Syrup"
Purple Passion Iced Tea,Vodka,"Vodka, Light Rum, Gin, Black raspberry liqueur, Simple Syrup, Fresh lemon juice and 3 oz"
Purple Ruby,Vodka,"Vodka, Pomegranate juice, Grapefruit Juice, Fresh Lime Juice, Honey Syrup"
Purple Twister,Cocktail Classics,Old Mr. Boston Grape Vodka
Quaker's Cocktail,Rum - Daiquiris,"Light Rum, Brandy, Fresh lemon juice, Raspberry Syrup"
Quarter Deck Cocktail,Rum - Daiquiris,"Light Rum, Cream sherry, Fresh Lime Juice"
Queen Bee,Cocktail Classics,"Lime Vodka, Coffee-flavored brandy, Cream sherry"
Queen Elizabeth Cocktail,Cocktail Classics,"Old Mr. Boston Dry Gin, Dry Vermouth, Benedictine"
Quetzalcoatl,Tequila,"Blanco tequila, Mezcal, Creme de peche, Guava puree, Grapefruit Juice"
Racquet Club Cocktail,Cocktail Classics,"Gin, Dry Vermouth, Orange Bitters"
Ramos Fizz,Cocktail Classics,"Juice of a Lemon, Egg White, Powdered Sugar, Gin, Light cream, Triple Sec"
Rattlesnake Cocktail,Cocktail Classics,"Blended whiskey, Egg White, Lemon Juice, Powdered Sugar, Anis"
Rebel Charge,Cocktail Classics,"Bourbon, Triple Sec, Orange Juice, Lemon Juice, Egg White"
Red Apple,Vodka,"Vodka, Apple juice, Fresh lemon juice, Grenadine"
Red Raider,Cocktail Classics,"Bourbon, Triple Sec, Lemon Juice, Grenadine"
Red Swizzle,Cocktail Classics,"Juice of a Lime, Powdered Sugar, Carbonated Water, Gin, Bitters, Grenadine"
Redhead Martini,Vodka,"Strawberries, cut into halves, Fresh lemon juice, Simple Syrup, Citrus-flavored vodka, Chilled Moscato d'Asti or sweet sparkling wine"
Resolute Cocktail,Cocktail Classics,"Juice of a Lemon, Apricot Flavored Brandy, Gin"
Restless Native,Rum - Daiquiris,"Coconut rum, White creme de cacao, Fresh Lime Juice, Light Rum"
Ringo Starr,Rum - Daiquiris,"Red grapes, Lemon, Fresh mint leaves, Sugar cube, African rum"
Rio Fix,Rum - Daiquiris,"Absinthe or pastis, Cachaca, Maraschino liqueur, Fresh Lime Juice, Pineapple Juice"
Rob Roy Cocktail,Cocktail Classics,"Sweet Vermouth, Desmond & Duff Scotch Whisky"
Robin's Nest,Vodka,"Vodka, Cranberry Juice, White creme de cacao"
Robson Cocktail,Rum - Daiquiris,"Jamaica Rum, Fresh lemon juice, Fresh orange juice, Grenadine"
Rock & Rye Cocktail,Cocktail Classics,"Rock and Rye, White Port Wine, Dry Vermouth"
Rock & Rye Cooler,Cocktail Classics,"Rock and Rye, Vodka, Lime Juice"
Rococo,Cocktail Classics,"Cherry Vodka, Orange Juice, Triple Sec"
Roselyn Cocktail,Cocktail Classics,"Dry Vermouth, Gin, Grenadine"
Rosemary Clementine Sparkle,Vodka,"Clementine or mandarin orange, Vodka, Fresh lemon juice, Honey Syrup, Fresh rosemary sprig, Chilled sparkling wine or Champagne"
Rosita,Tequila,"Blanco tequila, Sweet Vermouth, Dry Vermouth, Campari, Angostura Bitters"
Rouxby Red,Vodka,"For glass Lemon wedge, coarse salt, Grapefruit-flavored vodka, Fresh lemon juice, Grapefruit Juice, Campari, Simple Syrup"
Royal Clover Club Cocktail,Cocktail Classics,"Juice of a Lime, Grenadine, Egg Yolk, Gin"
Royal Cocktail,Cocktail Classics,"Whole Egg, Juice of a Lemon, Powdered Sugar, Gin"
Royal Gin Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Gin, Whole Egg"
Royal Purple Punch,Cocktail Classics,red wine
Ruby Fizz,Cocktail Classics,"Juice of a Lemon, Powdered Sugar, Egg White, Grenadine, Sloe gin"
Ruby Red,Vodka,"Grapefruit-flavored vodka, Triple Sec, Fresh ruby red grapefruit juice, Fresh orange juice"
Rum Cobbler,Rum - Daiquiris,"Light Rum, Simple Syrup"
Rum Collins,Rum - Daiquiris,"Light Rum, Fresh Lime Juice, Simple Syrup"
Rum Cooler,Rum - Daiquiris,"Light Rum, Simple Syrup, Soda water"
Rum Coooler,Cocktail Classics,"powdered sugar, carbonated water, Mr. Boston Rum"
Rum Daisy,Rum - Daiquiris,"Light Rum, Fresh lemon juice, Simple Syrup, Grenadine"
Rum Dubonnet,Cocktail Classics,"Light Rum, Dubonnet, Lemon Juice"
Rum Fix,Rum - Daiquiris,"Light Rum, Fresh lemon or lime juice, Simple Syrup"
Rum Highball,Rum - Daiquiris,Light or dark rum
Rum Martini,Rum - Daiquiris,"Light Rum, Dry Vermouth"
Rum Old-Fashioned,Rum - Daiquiris,"Light Rum, 151-Proof Rum, Simple Syrup, Angostura Bitters"
Rum Relaxer,Rum - Daiquiris,"Light Rum, Pineapple Juice, Grenadine"
Rum Rickey,Rum - Daiquiris,"Light Rum, Fresh Lime Juice"
Rum Screwdriver,Rum - Daiquiris,"Light Rum, Orange juice"
Rum Sour,Rum - Daiquiris,"Light Rum, Fresh lemon juice, Simple Syrup"
Rum Swizzle,Rum - Daiquiris,"Light or dark rum, Fresh Lime Juice, Simple Syrup, Angostura Bitters"
Rum Toddy (Cold),Rum - Daiquiris,"Light or dark rum, Water, Simple Syrup, Brandy"
Russian Bear Cocktail,Vodka,"Vodka, White creme de cacao, half-and-half"
Rye Whiskey Cocktail,Cocktail Classics,"Bitters, Powdered Sugar, Rye Whiskey"
S & V,Rum - Daiquiris,"Light Rum, Creole Shrubb (rum-based orange liqueur), Ruby port, Fresh Lime Juice"
Saint Lucy Bracer,Rum - Daiquiris,"Dark rum, Butterscotch schnapps, Sweet Vermouth, Angostura Bitters"
Sake Martini,Cocktail Classics,"Sake, Mr. Boston Gin"
Sake Martini (Sakini),Cocktail Classics,"Sake, Gin"
Salty Dog,Vodka,"Lemon wedge, coarse salt, Vodka, Grapefruit Juice"
